,adtv_bn
GSM,0.06634509568333331
NO1,0.06589860166666667
VTC,0.06560344990000001
VC9,0.06550564666666668
HUB,0.064792715
FT1,0.06474936185
TYA,0.06465708333333334
DQC,0.06459176666666668
SVD,0.0642620595
AAT,0.06424372916666667
VDP,0.06375405
VPH,0.06355675849999999
IST,0.06347689245
THT,0.06294883166666666
BSA,0.06274883166666667
XPH,0.06272610333333334
PVO,0.062479066666666666
PVL,0.06128654333333333
SVT,0.06122608833333333
DP1,0.06114415846666667
SWC,0.061121615000000004
PSB,0.06107064333333333
PRT,0.06052145166666667
LAI,0.060416379199999995
ND2,0.06036679645
MCG,0.060207215
RCL,0.05979645708333333
BOT,0.05944590833333333
SKV,0.05938868666666666
PFL,0.059251691666666675
VNS,0.058697566666666666
VCR,0.058337901666666664
CTX,0.057306335
SRC,0.05719941666666666
HMC,0.0570788125
BTH,0.05435743368333334
EFI,0.053415753333333336
DDN,0.052708205
EID,0.052615930000000005
VNF,0.05258090420000001
ICN,0.05226150166666666
BNW,0.05221157833333334
GKM,0.05213990666666666
LMC,0.051702558333333336
PTD,0.051657715
CSI,0.05148001
CIA,0.051304865
TA9,0.05114985833333333
SBH,0.05058328
PPY,0.050304888416666665
TH1,0.04995795166666667
HMR,0.04984600833333333
PJT,0.04965174366666667
QCC,0.04950597201666668
FID,0.04927809666666667
DTK,0.048969975
HRC,0.048855673333333335
TAB,0.048793199999999995
PIT,0.04855530733333333
DVG,0.04851681333333333
HTC,0.04824478323333334
OPC,0.04812389166666667
CMD,0.04801345259999999
PBC,0.04753052500000001
SNZ,0.04725979833333333
BHN,0.04683866166666666
HWS,0.046538891
AAM,0.04638174166666667
CET,0.04625926333333333
BBT,0.04572870908333333
AG1,0.04570713166666668
VGG,0.04567841500000001
HEC,0.04536879
IDP,0.04464323333333333
PXS,0.044358241666666666
MCF,0.044122075
BMK,0.043940695
QTC,0.04393909038333334
HAS,0.0436331825
TS3,0.04346933333333334
TAR,0.042886813333333336
SDV,0.04262687503333333
SMT,0.042522606666666664
TTD,0.04225864561666666
CLH,0.041612181666666664
HLC,0.040872610000000004
ACL,0.04027921166666667
VDL,0.039751625
VLS,0.03920369666666666
DTG,0.039079595349999996
HU4,0.03905505935
UDC,0.038493655
CKD,0.038478301666666666
RTB,0.038421418183333333
DMC,0.03823391333333333
BSP,0.038113356666666674
BRS,0.03791307515
DFF,0.037618370000000005
MGG,0.037231225
HD6,0.03722617833333333
TMS,0.037191957500000004
QNP,0.037087825
MTA,0.03674956375
HAT,0.036370816349999995
PVM,0.036219593333333334
PTC,0.03589632766666667
VRG,0.03544306666666667
PTV,0.03506206333333333
PCE,0.03498662355
HSV,0.03388504
CNC,0.03375919333333333
VTB,0.0331564
SAV,0.032865558333333336
EIC,0.03277523333333333
HNF,0.03276012833333333
DPH,0.032746950000000004
SIV,0.032288856666666664
PTI,0.032178414999999995
TGP,0.032075179999999995
IFS,0.0318270653
DNW,0.031216367550000002
VNT,0.030238911666666663
HDM,0.0302262508
AVC,0.030125668333333338
HTV,0.029718006666666665
NCS,0.029641965
ALV,0.029203379999999998
DFC,0.029195788333333333
SDK,0.028733981399999994
VSI,0.028583819166666663
QPH,0.02856807333333333
HOM,0.028555674999999996
CC1,0.028463789583333336
ABR,0.028462418333333336
TIS,0.028321733333333335
DNA,0.028232195383333332
CLM,0.02743439753333333
KMR,0.02729011866666667
HU3,0.02722665
PTS,0.026540356666666667
SHE,0.026499575
POT,0.026300230333333334
ACM,0.026296316666666663
TDB,0.026180775
QSP,0.026180383333333335
HEP,0.02588503333333333
GIC,0.025839491666666665
BRC,0.025694026666666665
TL4,0.025611583333333333
HVA,0.025573048333333338
SHA,0.02556455166666667
BLI,0.025351186666666668
MLS,0.024971126666666666
BMJ,0.024201579999999997
NHD,0.024115103333333332
GMX,0.023964519416666667
TVT,0.023959581666666663
POV,0.023797213333333334
DNP,0.023793461666666665
ALT,0.023787991666666664
GPC,0.023711208333333327
TJC,0.023556218333333333
PMB,0.02326344483333333
CVT,0.02298608333333333
HAM,0.022982409999999998
CNN,0.022975242933333334
HDP,0.022968875
MKP,0.022620045350000003
MH3,0.022588505
PJC,0.022344776666666667
L10,0.022265666666666666
CMT,0.022068181666666662
HPT,0.022010451666666667
